ReviewId,OwnerId,CreatedOn,NumberOfPatches,LastUpdatedOn,Project,Branch,SubmitType,Status,Elasped time in hours,Number of approvals,Net approval score,Average approval score ,Number of comments,Date of last comment,Date of first comment,Comment Span in Hours,Number of total reviews owned by owner,Number of total approvals given by owner,Number of comments by owner on this review,Number of total comments by owner across all reviews,"Number of reviews of owner which have a status = ""merged""",What is the average approval score of the owner
1216,1001252,10/22/2008 18:43,1,10/22/2008 19:47,platform/development,refs/heads/master,MERGE_ALWAYS,merged,1.05,1,2,2,2,10/22/2008 19:47,10/22/2008 19:46,0,1,33,NULL,172,1,0.2727
1233,1000330,10/23/2008 3:35,1,10/23/2008 23:13,platform/build,refs/heads/master,MERGE_ALWAYS,merged,19.6167,2,2,1,6,10/23/2008 23:13,10/23/2008 6:38,16.2667,2,2,1,3,2,1
1241,1000330,10/23/2008 17:26,1,12/3/2008 16:11,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,merged,838.9833,4,4,1,5,12/3/2008 16:11,10/23/2008 17:44,99.9999,2,2,NULL,3,2,1
1248,1000701,10/24/2008 1:13,1,10/24/2008 1:14,platform/build,refs/heads/master,MERGE_ALWAYS,merged,0,NULL,NULL,NULL,1,10/24/2008 1:14,10/24/2008 1:14,0,63,254,NULL,289,63,0.689
1251,1000701,10/24/2008 2:52,1,7/13/2010 15:32,platform/build,refs/heads/master,MERGE_ALWAYS,merged,838.9833,1,2,2,6,7/13/2010 15:32,10/24/2008 2:53,99.9999,63,254,NULL,289,63,0.689
1254,1001286,10/24/2008 3:04,1,10/24/2008 3:07,platform/vendor/htc/dream-open,refs/heads/master,MERGE_ALWAYS,merged,0.05,1,1,1,2,10/24/2008 3:07,10/24/2008 3:06,0,17,372,NULL,254,12,0.4086
1255,1001286,10/24/2008 3:04,1,10/24/2008 3:10,platform/vendor/htc/dream-open,refs/heads/master,MERGE_ALWAYS,merged,0.1,1,1,1,2,10/24/2008 3:10,10/24/2008 3:09,0,17,372,NULL,254,12,0.4086
1261,1000387,10/24/2008 15:58,1,10/24/2008 16:12,platform/external/opencore,refs/heads/master,MERGE_ALWAYS,merged,0.2167,NULL,NULL,NULL,1,10/24/2008 16:12,10/24/2008 16:12,0,2,147,NULL,96,2,0.3469
1275,1000660,10/24/2008 18:56,1,10/25/2008 17:21,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,merged,22.4167,2,3,1.5,4,10/25/2008 17:21,10/24/2008 19:01,22.3667,701,4287,1,10892,605,0.4444
1276,1000234,10/24/2008 20:12,1,12/3/2008 16:11,platform/bionic,refs/heads/master,MERGE_ALWAYS,merged,838.9833,2,2,1,10,12/3/2008 16:11,10/24/2008 21:26,99.9999,61,369,2,375,55,0.8509
1277,1000234,10/24/2008 20:12,1,10/28/2008 6:46,platform/external/oprofile,refs/heads/master,MERGE_ALWAYS,merged,82.55,NULL,NULL,NULL,2,10/28/2008 6:46,10/24/2008 21:28,82.35,61,369,1,375,55,0.8509
1355,1001286,10/25/2008 5:50,1,10/25/2008 6:18,platform/build,refs/heads/master,MERGE_ALWAYS,merged,0.45,1,2,2,3,10/25/2008 6:18,10/25/2008 6:17,0,17,372,NULL,254,12,0.4086
1360,1000014,10/27/2008 3:40,1,12/3/2008 16:11,platform/packages/apps/Calculator,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,1,-1,-1,3,12/3/2008 16:11,11/2/2008 1:35,99.9999,1,NULL,NULL,NULL,NULL,NULL
1362,1000653,10/27/2008 6:23,1,12/3/2008 16:11,platform/packages/apps/Email,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,1,-2,-2,4,12/3/2008 16:11,10/27/2008 19:41,99.9999,8,3,NULL,15,2,-0.3333
1371,1001286,10/27/2008 23:26,1,10/28/2008 0:49,platform/system/wlan/ti,refs/heads/master,MERGE_ALWAYS,merged,1.3667,1,2,2,2,10/28/2008 0:49,10/28/2008 0:28,0,17,372,NULL,254,12,0.4086
1376,1000728,10/28/2008 9:50,1,10/29/2008 1:12,platform/external/qemu,refs/heads/master,MERGE_ALWAYS,merged,15.35,1,2,2,2,10/29/2008 1:12,10/29/2008 1:12,0,3,1,NULL,4,1,1
1387,1000660,10/29/2008 0:37,1,11/2/2008 5:46,platform/external/oprofile,refs/heads/master,MERGE_ALWAYS,Abandoned,101.1333,1,-2,-2,3,11/2/2008 5:46,10/29/2008 0:46,99.9999,701,4287,1,10892,605,0.4444
1411,1000322,10/23/2008 3:27,1,10/23/2008 5:13,platform/build,refs/heads/master,MERGE_ALWAYS,merged,1.75,1,2,2,2,10/23/2008 5:13,10/23/2008 5:13,0,2,132,NULL,152,2,0.5455
1435,1001286,10/24/2008 1:35,1,10/24/2008 3:05,platform/vendor/htc/dream-open,refs/heads/master,MERGE_ALWAYS,merged,1.4833,1,1,1,2,10/24/2008 3:05,10/24/2008 2:55,0,17,372,NULL,254,12,0.4086
1442,1000678,10/24/2008 3:51,1,10/24/2008 3:52,platform/build,refs/heads/master,MERGE_ALWAYS,merged,0.0167,1,2,2,2,10/24/2008 3:52,10/24/2008 3:52,0,10,118,NULL,144,9,0.7881
1454,1000660,10/24/2008 18:56,1,10/25/2008 18:20,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,23.4,2,-1,-0.5,5,10/25/2008 18:20,10/24/2008 19:01,23.3833,701,4287,1,10892,605,0.4444
1456,1000234,10/24/2008 20:12,1,10/28/2008 23:24,platform/external/oprofile,refs/heads/master,MERGE_ALWAYS,merged,99.1833,2,0,0,4,10/28/2008 23:24,10/24/2008 21:29,98.6167,61,369,1,375,55,0.8509
1459,1000387,10/25/2008 0:33,1,10/25/2008 0:41,platform/packages/apps/Camera,refs/heads/master,MERGE_ALWAYS,merged,0.1167,1,2,2,3,10/25/2008 0:41,10/25/2008 0:38,0,2,147,NULL,96,2,0.3469
1524,1000678,10/25/2008 17:44,1,10/31/2008 23:33,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,149.8,NULL,NULL,NULL,5,10/31/2008 23:33,10/25/2008 17:45,99.9999,10,118,1,144,9,0.7881
1525,1000678,10/25/2008 18:08,1,10/25/2008 18:16,platform/build,refs/heads/master,MERGE_ALWAYS,merged,0.1167,NULL,NULL,NULL,1,10/25/2008 18:16,10/25/2008 18:16,0,10,118,NULL,144,9,0.7881
1527,1000728,10/26/2008 20:39,1,3/4/2009 21:45,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,2,-2,-1,5,3/4/2009 21:45,10/28/2008 8:23,99.9999,3,1,2,4,1,1
1535,1000495,10/27/2008 17:23,2,3/4/2009 20:07,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,merged,838.9833,3,2,0.6667,8,3/4/2009 20:07,10/28/2008 16:12,99.9999,7,4,NULL,4,5,0.5
1539,1000653,10/27/2008 22:27,1,10/28/2008 2:31,platform/packages/apps/Email,refs/heads/master,MERGE_ALWAYS,merged,4.05,1,2,2,2,10/28/2008 2:31,10/28/2008 2:30,0,8,3,NULL,15,2,-0.3333
1540,1001286,10/27/2008 23:26,1,10/28/2008 0:24,platform/system/wlan/ti,refs/heads/master,MERGE_ALWAYS,merged,0.95,1,2,2,3,10/28/2008 0:24,10/28/2008 0:05,0,17,372,NULL,254,12,0.4086
1547,1000947,10/28/2008 17:52,1,10/29/2008 20:52,platform/packages/apps/AlarmClock,refs/heads/master,MERGE_ALWAYS,Abandoned,27,1,0,0,5,10/29/2008 20:52,10/29/2008 0:41,20.3333,1,NULL,1,1,NULL,NULL
1550,1000980,10/28/2008 18:41,1,10/29/2008 0:52,platform/build,refs/heads/master,MERGE_ALWAYS,merged,6.1833,1,2,2,3,10/29/2008 0:52,10/29/2008 0:51,0,30,49,NULL,173,24,1.2857
1552,1000728,10/28/2008 18:51,1,11/8/2009 21:31,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,6,4,0.6667,8,11/8/2009 21:31,10/31/2008 17:37,99.9999,3,1,1,4,1,1
1557,1001100,10/28/2008 22:07,1,10/28/2008 23:41,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,merged,1.55,1,2,2,2,10/28/2008 23:41,10/28/2008 23:41,0,709,2208,NULL,4177,667,0.5616
1568,1000660,10/29/2008 17:17,1,11/4/2008 3:33,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,130.2667,2,-2,-1,5,11/4/2008 3:33,10/29/2008 21:32,99.9999,701,4287,2,10892,605,0.4444
1569,1001211,10/29/2008 17:19,1,10/29/2008 22:47,platform/external/opencore,refs/heads/master,MERGE_ALWAYS,merged,5.45,NULL,NULL,NULL,2,10/29/2008 22:47,10/29/2008 18:02,4.0667,8,37,1,76,8,1.4595
1581,1000866,10/29/2008 23:07,1,11/1/2008 2:46,platform/bionic,refs/heads/master,MERGE_ALWAYS,Abandoned,51.65,1,0,0,4,11/1/2008 2:46,10/30/2008 0:45,50.8333,306,477,NULL,1198,233,0.9266
1584,1000866,10/29/2008 23:16,1,10/30/2008 4:12,platform/vendor/htc/dream-open,refs/heads/master,MERGE_ALWAYS,merged,4.9167,1,2,2,2,10/30/2008 4:12,10/30/2008 4:12,0,306,477,NULL,1198,233,0.9266
1606,1000866,10/29/2008 23:08,1,10/30/2008 0:47,platform/hardware/libhardware,refs/heads/master,MERGE_ALWAYS,merged,1.65,1,2,2,2,10/30/2008 0:47,10/30/2008 0:47,0,306,477,NULL,1198,233,0.9266
1608,1000866,10/29/2008 23:09,1,10/30/2008 0:49,platform/system/core,refs/heads/master,MERGE_ALWAYS,merged,1.6667,1,2,2,2,10/30/2008 0:49,10/30/2008 0:49,0,306,477,NULL,1198,233,0.9266
1624,1000237,10/30/2008 15:42,1,12/3/2008 16:11,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,816.4833,3,-1,-0.3333,15,12/3/2008 16:11,10/30/2008 22:55,99.9999,7,5,6,21,2,0.4
1626,1000237,10/30/2008 15:51,1,12/3/2008 16:11,platform/system/core,refs/heads/master,MERGE_ALWAYS,Abandoned,816.3333,2,1,0.5,6,12/3/2008 16:11,10/30/2008 16:53,99.9999,7,5,2,21,2,0.4
1646,1000866,10/30/2008 22:06,1,11/1/2008 2:46,kernel/msm,refs/heads/android-msm-htc-2.6.25,FAST_FORWARD_ONLY,Abandoned,28.65,1,0,0,2,11/1/2008 2:46,10/30/2008 22:46,28.4667,306,477,NULL,1198,233,0.9266
1647,1000830,10/30/2008 22:06,1,10/30/2008 22:35,kernel/common,refs/heads/android-2.6.25,FAST_FORWARD_ONLY,merged,0.4833,1,2,2,2,10/30/2008 22:35,10/30/2008 22:35,0,222,474,NULL,810,193,1.1709
1649,1001051,10/30/2008 23:17,1,10/31/2008 0:55,platform/external/opencore,refs/heads/master,MERGE_ALWAYS,merged,1.6167,1,2,2,3,10/31/2008 0:55,10/31/2008 0:54,0,70,490,NULL,1039,60,1.8306
1650,1000973,10/31/2008 9:24,1,10/31/2008 23:12,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,merged,13.7833,2,3,1.5,3,10/31/2008 23:12,10/31/2008 10:26,12.2,4,1,NULL,3,4,0
1655,1000880,10/31/2008 21:31,1,11/8/2009 21:08,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,4,1,0.25,6,11/8/2009 21:08,11/1/2008 1:33,99.9999,4,3,1,7,NULL,0
1656,1000880,10/31/2008 21:31,1,11/8/2009 21:09,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,2,0,0,2,11/8/2009 21:09,8/25/2009 19:44,99.9999,4,3,NULL,7,NULL,0
1658,1000237,10/31/2008 22:35,1,12/3/2008 16:11,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,785.5833,2,-1,-0.5,6,12/3/2008 16:11,10/31/2008 22:42,99.9999,7,5,3,21,2,0.4
1661,1000237,10/31/2008 23:16,1,10/31/2008 23:33,platform/build,refs/heads/master,MERGE_ALWAYS,merged,0.2833,1,2,2,3,10/31/2008 23:33,10/31/2008 23:19,0,7,5,1,21,2,0.4
1663,1000237,11/1/2008 1:07,1,4/6/2009 22:55,platform/system/core,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,2,0,0,5,4/6/2009 22:55,11/1/2008 1:10,99.9999,7,5,2,21,2,0.4
1667,1000830,11/1/2008 19:36,1,11/2/2008 5:47,platform/system/core,refs/heads/master,MERGE_ALWAYS,merged,10.1833,1,2,2,2,11/2/2008 5:47,11/2/2008 5:47,0,222,474,NULL,810,193,1.1709
1673,1001191,11/2/2008 1:46,1,4/20/2009 18:11,platform/bionic,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,2,-1,-0.5,13,4/20/2009 18:11,11/3/2008 6:54,99.9999,33,8,1,23,7,0.125
1677,1001191,11/2/2008 1:46,1,11/4/2008 15:19,platform/external/elfcopy,refs/heads/master,MERGE_ALWAYS,Abandoned,61.5333,1,-1,-1,1,11/4/2008 15:19,11/4/2008 15:19,0,33,8,NULL,23,7,0.125
1678,1001191,11/2/2008 1:47,1,12/3/2008 16:11,platform/external/opencore,refs/heads/master,MERGE_ALWAYS,Abandoned,758.4,2,-3,-1.5,5,12/3/2008 16:11,11/7/2008 16:16,99.9999,33,8,NULL,23,7,0.125
1680,1001191,11/2/2008 1:47,1,11/2/2008 3:37,platform/external/sonivox,refs/heads/master,MERGE_ALWAYS,Abandoned,1.8333,1,-2,-2,1,11/2/2008 3:37,11/2/2008 3:37,0,33,8,NULL,23,7,0.125
1683,1001191,11/2/2008 1:47,2,3/4/2009 21:30,platform/external/srec,refs/heads/master,MERGE_ALWAYS,merged,838.9833,2,2,1,4,3/4/2009 21:30,3/4/2009 21:24,0,33,8,NULL,23,7,0.125
1684,1001191,11/2/2008 1:47,1,12/3/2008 16:11,platform/system/core,refs/heads/master,MERGE_ALWAYS,Abandoned,758.4,4,-3,-0.75,28,12/3/2008 16:11,11/2/2008 3:32,99.9999,33,8,NULL,23,7,0.125
1692,1001302,11/2/2008 17:42,1,8/25/2009 15:22,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,3,0,0,18,8/25/2009 15:22,11/2/2008 17:51,99.9999,171,62,8,166,26,0
1694,1001302,11/2/2008 17:42,1,11/3/2008 13:38,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,Abandoned,19.9333,1,-1,-1,1,11/3/2008 13:38,11/3/2008 13:38,0,171,62,NULL,166,26,0
1696,1001240,11/3/2008 17:05,1,11/3/2008 17:08,platform/manifest,refs/heads/cdma-import,FAST_FORWARD_ONLY,merged,0.05,NULL,NULL,NULL,1,11/3/2008 17:08,11/3/2008 17:08,0,6,11,NULL,31,6,0.0909
1704,1001302,11/3/2008 21:03,1,8/25/2009 14:22,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,1,0,0,9,8/25/2009 14:22,11/3/2008 21:09,99.9999,171,62,4,166,26,0
1716,1000392,11/3/2008 23:55,1,11/4/2008 0:45,platform/build,refs/heads/master,MERGE_ALWAYS,merged,0.8167,NULL,NULL,NULL,2,11/4/2008 0:45,11/3/2008 23:58,0,4,42,1,94,4,0.7619
1723,1001332,11/4/2008 2:42,1,11/4/2008 20:46,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,merged,18.05,3,4,1.3333,5,11/4/2008 20:46,11/4/2008 3:01,17.2833,1,2,NULL,2,1,0
1729,1000866,11/4/2008 6:07,1,11/5/2008 0:19,kernel/msm,refs/heads/msm-2.6.25,FAST_FORWARD_ONLY,merged,18.2,1,2,2,3,11/5/2008 0:19,11/4/2008 23:17,1.0167,306,477,NULL,1198,233,0.9266
1730,1000866,11/4/2008 6:12,1,11/5/2008 0:27,platform/hardware/msm7k,refs/heads/master,MERGE_ALWAYS,merged,18.25,1,2,2,3,11/5/2008 0:27,11/5/2008 0:24,0,306,477,NULL,1198,233,0.9266
1742,1001302,11/4/2008 21:55,1,8/25/2009 15:23,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,2,1,0.5,4,8/25/2009 15:23,11/12/2008 18:45,99.9999,171,62,NULL,166,26,0
1744,1001302,11/4/2008 21:55,1,8/25/2009 14:58,platform/dalvik,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,2,1,0.5,6,8/25/2009 14:58,11/5/2008 11:35,99.9999,171,62,1,166,26,0
1745,1001302,11/4/2008 21:55,1,8/25/2009 14:24,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,1,1,1,2,8/25/2009 14:24,11/5/2008 11:28,99.9999,171,62,NULL,166,26,0
1746,1001302,11/4/2008 21:55,1,8/25/2009 21:04,platform/system/core,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,1,0,0,8,8/25/2009 21:04,11/5/2008 11:33,99.9999,171,62,3,166,26,0
1747,1000866,11/4/2008 23:14,1,11/5/2008 4:02,kernel/msm,refs/heads/android-msm-2.6.25,FAST_FORWARD_ONLY,Abandoned,4.8,1,-2,-2,6,11/5/2008 4:02,11/4/2008 23:18,4.0667,306,477,NULL,1198,233,0.9266
1748,1000866,11/4/2008 23:36,1,11/5/2008 23:58,kernel/msm,refs/heads/android-msm-htc-2.6.25,FAST_FORWARD_ONLY,Abandoned,24.35,2,-2,-1,4,11/5/2008 23:58,11/4/2008 23:38,24.4,306,477,NULL,1198,233,0.9266
1749,1000866,11/4/2008 23:36,1,11/5/2008 4:20,kernel/msm,refs/heads/android-msm-htc-2.6.25,FAST_FORWARD_ONLY,Abandoned,4.7167,1,-2,-2,3,11/5/2008 4:20,11/5/2008 4:02,0,306,477,NULL,1198,233,0.9266
1750,1001211,11/4/2008 23:59,1,11/5/2008 0:01,platform/external/opencore,refs/heads/master,MERGE_ALWAYS,merged,0.0167,NULL,NULL,NULL,1,11/5/2008 0:01,11/5/2008 0:01,0,8,37,NULL,76,8,1.4595
1762,1001174,11/5/2008 17:34,1,3/11/2009 21:41,kernel/msm,refs/heads/android-msm-htc-2.6.25,FAST_FORWARD_ONLY,Abandoned,838.9833,1,1,1,2,3/11/2009 21:41,11/6/2008 16:46,99.9999,210,358,1,619,164,0.7011
1774,1000866,11/6/2008 1:33,1,11/6/2008 6:36,platform/bionic,refs/heads/master,MERGE_ALWAYS,merged,5.05,1,2,2,2,11/6/2008 6:36,11/6/2008 6:36,0,306,477,NULL,1198,233,0.9266
1776,1000866,11/6/2008 1:34,1,11/6/2008 6:38,platform/hardware/msm7k,refs/heads/master,MERGE_ALWAYS,merged,5.05,1,2,2,2,11/6/2008 6:38,11/6/2008 6:38,0,306,477,NULL,1198,233,0.9266
1783,1001163,11/6/2008 3:07,1,11/7/2008 1:23,platform/vendor/htc/dream-open,refs/heads/master,MERGE_ALWAYS,Abandoned,22.25,1,-2,-2,2,11/7/2008 1:23,11/6/2008 6:36,18.3,1,1,NULL,1,NULL,NULL
1786,1001240,11/6/2008 16:27,1,11/13/2008 5:47,platform/manifest,refs/heads/master,FAST_FORWARD_ONLY,merged,157.3167,1,2,2,4,11/13/2008 5:47,11/6/2008 16:41,99.9999,6,11,2,31,6,0.0909
1789,1001240,11/6/2008 16:36,1,11/14/2008 20:56,platform/manifest,refs/heads/cdma-import,FAST_FORWARD_ONLY,merged,196.3167,1,2,2,5,11/14/2008 20:56,11/6/2008 16:42,99.9999,6,11,2,31,6,0.0909
1815,1001286,10/30/2008 22:50,1,10/30/2008 22:50,platform/bionic,refs/heads/master,MERGE_ALWAYS,merged,0,NULL,NULL,NULL,1,10/30/2008 22:50,10/30/2008 22:50,0,17,372,NULL,254,12,0.4086
1822,1000880,10/31/2008 21:31,1,11/8/2009 21:09,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,2,0,0,2,11/8/2009 21:09,8/25/2009 19:44,99.9999,4,3,NULL,7,NULL,0
1838,1001191,11/2/2008 1:46,1,11/2/2008 3:09,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,1.3833,1,-2,-2,1,11/2/2008 3:09,11/2/2008 3:09,0,33,8,NULL,23,7,0.125
1839,1001191,11/2/2008 1:46,1,4/20/2009 18:11,platform/dalvik,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,1,0,0,7,4/20/2009 18:11,11/3/2008 18:29,99.9999,33,8,1,23,7,0.125
1840,1001191,11/2/2008 1:47,1,4/20/2009 18:13,platform/external/skia,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,2,0,0,3,4/20/2009 18:13,3/5/2009 13:31,99.9999,33,8,1,23,7,0.125
1843,1001191,11/2/2008 1:47,1,12/3/2008 16:11,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,Abandoned,758.4,7,-5,-0.7143,37,12/3/2008 16:11,11/2/2008 3:45,99.9999,33,8,NULL,23,7,0.125
1844,1001191,11/2/2008 1:47,1,3/14/2009 17:08,platform/hardware/libhardware,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,2,0,0,9,3/14/2009 17:08,11/2/2008 3:59,99.9999,33,8,1,23,7,0.125
1845,1000495,11/2/2008 1:51,1,11/3/2008 21:31,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,merged,43.65,2,2,1,4,11/3/2008 21:31,11/2/2008 2:04,43.7167,7,4,1,4,5,0.5
1847,1000495,11/2/2008 1:59,1,11/3/2008 21:33,platform/packages/apps/Contacts,refs/heads/master,MERGE_ALWAYS,merged,43.5667,1,2,2,2,11/3/2008 21:33,11/3/2008 21:33,0,7,4,NULL,4,5,0.5
1848,1000495,11/2/2008 3:02,1,8/25/2009 19:37,platform/packages/apps/Contacts,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,2,3,1.5,4,8/25/2009 19:37,11/2/2008 5:17,99.9999,7,4,NULL,4,5,0.5
1853,1000663,11/2/2008 7:34,1,3/4/2009 19:53,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,2,-1,-0.5,3,3/4/2009 19:53,11/2/2008 7:35,99.9999,2,NULL,NULL,NULL,NULL,NULL
1856,1000663,11/2/2008 7:53,1,8/25/2009 20:07,platform/development,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,2,-1,-0.5,4,8/25/2009 20:07,11/2/2008 23:21,99.9999,2,NULL,NULL,NULL,NULL,NULL
1860,1001302,11/2/2008 17:42,1,8/25/2009 15:11,platform/dalvik,refs/heads/master,MERGE_ALWAYS,Abandoned,838.9833,3,1,0.3333,8,8/25/2009 15:11,11/3/2008 13:45,99.9999,171,62,2,166,26,0
1861,1001302,11/2/2008 17:42,1,11/4/2008 3:52,platform/system/core,refs/heads/master,MERGE_ALWAYS,merged,34.1667,2,3,1.5,3,11/4/2008 3:52,11/3/2008 13:42,14.2333,171,62,NULL,166,26,0
1886,1000866,11/4/2008 6:07,1,11/5/2008 0:19,kernel/msm,refs/heads/msm-2.6.25,FAST_FORWARD_ONLY,merged,18.2,1,2,2,2,11/5/2008 0:19,11/4/2008 23:16,1.0167,306,477,NULL,1198,233,0.9266
1889,1000866,11/4/2008 6:08,1,11/5/2008 22:30,platform/bionic,refs/heads/master,MERGE_ALWAYS,Abandoned,40.3667,2,-1,-0.5,4,11/5/2008 22:30,11/4/2008 13:49,32.5333,306,477,NULL,1198,233,0.9266
1927,1001174,11/5/2008 17:34,1,3/11/2009 21:41,kernel/msm,refs/heads/android-msm-htc-2.6.25,FAST_FORWARD_ONLY,Abandoned,838.9833,1,0,0,4,3/11/2009 21:41,11/5/2008 22:43,99.9999,210,358,1,619,164,0.7011
1928,1001174,11/5/2008 17:34,1,3/11/2009 21:41,kernel/msm,refs/heads/android-msm-htc-2.6.25,FAST_FORWARD_ONLY,Abandoned,838.9833,1,1,1,2,3/11/2009 21:41,11/5/2008 22:45,99.9999,210,358,1,619,164,0.7011
1929,1001174,11/5/2008 17:34,1,3/11/2009 21:41,kernel/msm,refs/heads/android-msm-htc-2.6.25,FAST_FORWARD_ONLY,Abandoned,838.9833,NULL,NULL,NULL,1,3/11/2009 21:41,3/11/2009 21:41,0,210,358,1,619,164,0.7011
1941,1000866,11/6/2008 1:41,1,11/6/2008 6:46,platform/system/wlan/ti,refs/heads/master,MERGE_ALWAYS,merged,5.0833,1,2,2,2,11/6/2008 6:46,11/6/2008 6:44,0,306,477,NULL,1198,233,0.9266
1953,1001240,11/6/2008 16:27,1,11/13/2008 5:47,platform/manifest,refs/heads/master,FAST_FORWARD_ONLY,merged,157.3167,1,2,2,5,11/13/2008 5:47,11/6/2008 16:41,99.9999,6,11,2,31,6,0.0909
1955,1001240,11/6/2008 16:36,1,11/14/2008 20:56,platform/manifest,refs/heads/release-1.0,FAST_FORWARD_ONLY,merged,196.3167,1,2,2,5,11/14/2008 20:56,11/6/2008 16:42,99.9999,6,11,2,31,6,0.0909
1974,1000866,11/6/2008 22:34,1,11/6/2008 23:07,platform/vendor/htc/dream-open,refs/heads/master,MERGE_ALWAYS,merged,0.5333,1,2,2,2,11/6/2008 23:07,11/6/2008 23:07,0,306,477,NULL,1198,233,0.9266
